LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
96713,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
96713,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
96713,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
96713,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
98917,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
98917,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
98917,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
98917,18,Fraud - Declined,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
98917,18,Fraud - Declined,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
98917,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
98917,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
98917,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
98917,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
98917,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
98917,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,No,Cross River Bank TM
98917,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-08,Charged Off,,Yes - Repurchased,Payoff FBO Alliant Credit Union
